"NAM","DAT","PERIOD","ӘАОЖ(каталог бойынша)","LӘАОЖ(каталог бойынша)","ОЖА","LОЖА","VAL"
"Тіркелген ажырасулар саны(Адам)","2019 жыл","201912","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","15 715"
"Тіркелген ажырасулар саны(Адам)","2018 жыл","201812","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","13 675"
"Тіркелген ажырасулар саны(Адам)","2009 жыл","200912","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","9 303"
"Тіркелген ажырасулар саны(Адам)","2011 жыл","201112","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","11 070"
"Тіркелген ажырасулар саны(Адам)","2000 жыл","200012","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","4 638"
"Тіркелген ажырасулар саны(Адам)","2005 жыл","200512","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","5 404"
"Тіркелген ажырасулар саны(Адам)","2002 жыл","200212","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","5 673"
"Тіркелген ажырасулар саны(Адам)","2001 жыл","200112","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","5 372"
"Тіркелген ажырасулар саны(Адам)","2007 жыл","200712","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","8 097"
"Тіркелген ажырасулар саны(Адам)","2003 жыл","200312","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","5 266"
"Тіркелген ажырасулар саны(Адам)","2008 жыл","200812","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","8 377"
"Тіркелген ажырасулар саны(Адам)","2006 жыл","200612","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","6 301"
"Тіркелген ажырасулар саны(Адам)","2004 жыл","200412","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","5 204"
"Тіркелген ажырасулар саны(Адам)","2016 жыл","201612","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","13 277"
"Тіркелген ажырасулар саны(Адам)","2010 жыл","201012","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","10 563"
"Тіркелген ажырасулар саны(Адам)","2015 жыл","201512","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","13 447"
