"NAM","DAT","PERIOD","ӘАОЖ(каталог бойынша)","LӘАОЖ(каталог бойынша)","ОЖА","LОЖА","VAL"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","41 274"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","41 833"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","55 260"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","63 173"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","38 867"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","45 971"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","40 457"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","38 457"
"Тіркелген некелер саны(Адам)","2007 жыл","200712","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","60 611"
"Тіркелген некелер саны(Адам)","2003 жыл","200312","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","43 620"
"Тіркелген некелер саны(Адам)","2008 жыл","200812","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","53 045"
"Тіркелген некелер саны(Адам)","2006 жыл","200612","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","51 582"
