Year,Rural,Urban,Overall
2000,4638,22753,27391
2001,5372,24227,29599
2002,5673,25563,31236
2003,5266,26451,31717
2004,5204,26288,31492
2005,5404,26973,32377
2006,6301,29533,35834
2007,8097,28010,36107
2008,8377,27637,36014
2009,9303,30163,39466
2010,10563,31054,41617
2011,11070,33792,44862
2012,12281,36232,48513
2013,13117,38365,51482
2014,13240,39433,52673
2015,13447,39846,53293
2016,13277,38716,51993
2017,13825,40801,54626
2018,13675,41122,54797
2019,15715,44081,59796
2020,13583,34419,48002
2021,13414,34825,48239
2022,11288,33229,44517
