Year,Rural,Urban,Overall
2000,38867,52006,90873
2001,38457,54395,92852
2002,40457,58529,98986
2003,43620,66794,110414
2004,45172,69513,114685
2005,45971,77074,123045
2006,51582,85622,137204
2007,60611,85768,146379
2008,53045,82527,135572
2009,55260,85525,140785
2010,58359,88084,146443
2011,63173,97321,160494
2012,61792,102889,164681
2013,60953,107494,168447
2014,54156,105172,159328
2015,49842,98927,148769
2016,47030,94672,141702
2017,44529,97262,141791
2018,41833,95964,137797
2019,41274,98230,139504
2020,40063,88776,128839
2021,40841,99415,140256
2022,43020,85339,128359
